manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Modal Electronics,CARBON8,Modulation,ModSlot 7 Source,,106,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 8 Source,,107,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 1 Dest,,108,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 2 Dest,,109,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 3 Dest,,110,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 4 Dest,,111,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 5 Dest,,112,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 6 Dest,,113,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 7 Dest,,114,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 8 Dest,,115,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Controls,Joystick X+,,116,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Controls,Joystick X-,,117,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Controls,Joystick Y-,,118,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Patch Gain,,119,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,All Sound Off,,120,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Reset All Controllers,,121,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,All Notes Off,,123,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Omni Off,,124,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Omni On,,125,,0,127,,,,,,,0-based,,
